input_term,canonical_material,mcmaster_key,wieland_key,speeds_key,density_lb_in3
52100,52100 Bearing Steel,303 Stainless Steel,SS,52100 Bearing Steel,0.282
316,300 Series Stainless Steel,303 Stainless Steel,SS,Stainless Steel,0.293
303 Stainless Steel,303 Stainless Steel,303 Stainless Steel,SS,Stainless Steel,0.293
aluminum 5083,Aluminum 5083,aluminum 5083,AL,Aluminum,0.10
6061,Aluminum 6061-T6,aluminum MIC6,AL,Aluminum,0.10
7075,Aluminum 7075-T6,aluminum MIC6,AL,Aluminum,0.10
aluminum MIC6,Aluminum MIC-6,aluminum MIC6,AL,Aluminum,0.10
HOKOTOL,Aluminum Mold Plate (HOKOTOL/Alumec),aluminum MIC6,AL,Aluminum,0.10
Carbide,Carbide,Carbide,,Carbide,0.54
VM-15M,Carbide,Carbide,,Carbide,0.54
Ceramic,Ceramic Alumina,Ceramic,,Ceramic,0.22
Grade 2 Titanium,Unalloyed titanium standard oxygen,Grade 2 Titanium,TI,Titanium,0.160
Grade 5 Titanium,Titanium 6Al-4V,Grade 5 Titanium,TI,Titanium,0.160
Ti-6Al-4V,Titanium 6Al-4V,Grade 5 Titanium,TI,Titanium,0.160
Low-Carbon Steel,Low Carbon Steel,mild steel,,Stainless Steel,0.283
Mild Steel,Low Carbon Steel,mild steel,,Stainless Steel,0.283
A2,A2 Tool Steel,Tool Steel A2,,Tool Steel,0.289
Tool Steel A2,A2 Tool Steel,Tool Steel A2,,Tool Steel,0.289
GENERIC,GENERIC,,,GENERIC,0.283
