material,thickness_in,length_in,width_in,part
303 Stainless Steel,"1/2""","3""","3""",1243T15
303 Stainless Steel,"1/2""",6”,6”,1243T15
303 Stainless Steel,"1/2""","6""","12""",1243T15
303 Stainless Steel,"1/2""",12”,12”,1243T15
303 Stainless Steel,"5/8""","3""","3""",1243T16
303 Stainless Steel,"5/8""",6”,6”,1243T16
303 Stainless Steel,"5/8""","6""","12""",1243T16
303 Stainless Steel,"5/8""",12”,12”,1243T16
303 Stainless Steel,"3/4""","3""","3""",1243T17
303 Stainless Steel,"3/4""",6”,6”,1243T17
303 Stainless Steel,"3/4""","6""","12""",1243T17
303 Stainless Steel,"3/4""",12”,12”,1243T17
303 Stainless Steel,"1""","3""","3""",1243T18
303 Stainless Steel,"1""",6”,6”,1243T18
303 Stainless Steel,"1""","6""","12""",1243T18
303 Stainless Steel,"1""",12”,12”,1243T18
303 Stainless Steel,"1 1/4""","3""","3""",1243T19
303 Stainless Steel,"1 1/4""",6”,6”,1243T19
303 Stainless Steel,"1 1/4""","6""","12""",1243T19
303 Stainless Steel,"1 1/4""",12”,12”,1243T19
303 Stainless Steel,"1 1/2""","3""","3""",1243T23
303 Stainless Steel,"1 1/2""",6”,6”,1243T23
303 Stainless Steel,"1 1/2""","6""","12""",1243T23
303 Stainless Steel,"1 1/2""",12”,12”,1243T23
303 Stainless Steel,"1 3/4""","3""","3""",1243T24
303 Stainless Steel,"1 3/4""",6”,6”,1243T24
303 Stainless Steel,"1 3/4""","6""","12""",1243T24
303 Stainless Steel,"1 3/4""",12”,12”,1243T24
303 Stainless Steel,"2""","3""","3""",1243T25
303 Stainless Steel,"2""",6”,6”,1243T25
303 Stainless Steel,"2""","6""","12""",1243T25
303 Stainless Steel,"2""",12”,12”,1243T25
aluminum 5083,"1/4""","6""","6""",2567N11
aluminum 5083,"1/4""","8""","8""",2567N12
aluminum 5083,"1/4""","6""","12""",2567N13
aluminum 5083,"3/8""","6""","6""",2567N21
aluminum 5083,"1/4""","12""","48""",2567N211
aluminum 5083,"1/4""","24""","72""",2567N212
aluminum 5083,"5/16""","6""","6""",2567N213
aluminum 5083,"5/16""","6""","12""",2567N214
aluminum 5083,"5/16""","6""","24""",2567N215
aluminum 5083,"5/16""","8""","8""",2567N216
aluminum 5083,"5/16""","12""","12""",2567N217
aluminum 5083,"5/16""","12""","24""",2567N218
aluminum 5083,"5/16""","12""","48""",2567N219
aluminum 5083,"3/8""","8""","8""",2567N22
aluminum 5083,"5/16""","18""","18""",2567N221
aluminum 5083,"5/16""","24""","24""",2567N222
aluminum 5083,"3/8""","12""","48""",2567N223
aluminum 5083,"3/8""","24""","72""",2567N224
aluminum 5083,"1/2""","24""","72""",2567N225
aluminum 5083,"5/8""","6""","24""",2567N226
aluminum 5083,"3/4""","6""","24""",2567N227
aluminum 5083,"3/4""","12""","48""",2567N228
aluminum 5083,"3/4""","24""","72""",2567N229
aluminum 5083,"3/8""","6""","12""",2567N23
aluminum 5083,"7/8""","6""","12""",2567N231
aluminum 5083,"1""","6""","24""",2567N232
aluminum 5083,"1""","12""","48""",2567N233
aluminum 5083,"1""","24""","72""",2567N234
aluminum 5083,"1 1/4""","6""","6""",2567N235
aluminum 5083,"1 1/4""","6""","12""",2567N236
aluminum 5083,"1 1/4""","6""","24""",2567N237
aluminum 5083,"1 1/4""","8""","8""",2567N238
aluminum 5083,"1 1/4""","12""","12""",2567N239
aluminum 5083,"1 1/4""","12""","24""",2567N241
aluminum 5083,"1 1/2""","6""","6""",2567N242
aluminum 5083,"1 1/2""","12""","12""",2567N243
aluminum 5083,"1 1/2""","12""","24""",2567N244
aluminum 5083,"2""","6""","6""",2567N245
aluminum 5083,"2""","6""","12""",2567N246
aluminum 5083,"2""","8""","8""",2567N247
aluminum 5083,"2""","12""","12""",2567N248
aluminum 5083,"2""","12""","24""",2567N249
aluminum 5083,"1/2""","6""","6""",2567N31
aluminum 5083,"1/2""","8""","8""",2567N32
aluminum 5083,"1/2""","6""","12""",2567N33
aluminum 5083,"5/8""","6""","6""",2567N41
aluminum 5083,"5/8""","8""","8""",2567N42
aluminum 5083,"5/8""","6""","12""",2567N43
aluminum 5083,"3/4""","6""","6""",2567N51
aluminum 5083,"3/4""","8""","8""",2567N52
aluminum 5083,"3/4""","6""","12""",2567N53
aluminum 5083,"1""","6""","6""",2567N61
aluminum 5083,"1""","8""","8""",2567N62
aluminum 5083,"1""","6""","12""",2567N63
aluminum 5083,"1/4""","12""","12""",2729N111
